role,comparison,split,scale_seconds,representation,metric,n_focus,n_comparator,focus_median,comparator_median,rank_biserial_focus_minus_comparator,p_value,p_fdr_bh,effect_300,scale_spearman,direction_agreement,eligible,selection_score,selected
exploration,focus_vs_pop,discovery,180.0,modulation,h1_max_persistence,24,24,0.06983885169029236,0.06907579302787781,-0.11458333333333337,0.5023631472933511,0.8898776205621819,0.16840277777777768,0.24599963344127249,False,False,0.02818745799847915,False
exploration,focus_vs_pop,discovery,180.0,rhythm,h0_q75_persistence,24,24,0.5560163483023643,0.5573227852582932,-0.06597222222222221,0.7028592976964558,0.9042924810201319,-0.28125,0.39298347160589114,True,False,0.0259259929184442,False
exploration,focus_vs_pop,discovery,180.0,acoustic_novelty_delay,h1_prominent_count,24,24,1.0,1.0,-0.08159722222222221,0.6159515096680342,0.8935924449130678,-0.00520833333333337,0.3143030609934615,True,False,0.025646256713008138,False
exploration,focus_vs_pop,discovery,180.0,chroma,h1_persistence_entropy,24,24,0.8394204215658727,0.7928694608999589,0.08680555555555558,0.6134313729551664,0.8935924449130678,-0.1597222222222222,0.29256135895021324,False,False,0.025395951297761572,False
exploration,focus_vs_pop,discovery,180.0,chroma,h1_prominent_count,24,24,1.0,1.0,0.12673611111111116,0.42796690084596756,0.8898776205621819,0.26388888888888884,0.19858341860382306,True,False,0.025167690204998417,False
exploration,focus_vs_pop,discovery,180.0,chroma,h1_mean_persistence,24,24,0.060363173484802246,0.056756917387247086,0.17013888888888884,0.31728478955239503,0.822590195135839,0.20833333333333326,0.14441443179625704,True,False,0.024570510965335392,False
exploration,focus_vs_pop,discovery,180.0,rhythm,h1_prominent_count,24,24,1.0,0.0,0.09895833333333326,0.5278498733952159,0.8898776205621819,0.24479166666666674,0.23979741370808658,True,False,0.02372995239819605,False
exploration,focus_vs_pop,discovery,180.0,modulation_delay,h1_persistence_entropy,24,24,0.8401549400742183,0.7784718681089986,0.18402777777777768,0.2790032662872629,0.7812456769918186,0.19965277777777768,0.11538183254017073,True,False,0.021233462238295298,False
exploration,focus_vs_pop,discovery,180.0,onset_delay,h1_max_persistence,24,24,0.0966431200504303,0.09705899655818939,0.07291666666666674,0.6725120572471346,0.9042924810201319,0.05902777777777768,0.26869367385434684,True,False,0.019592247051879477,False
exploration,focus_vs_pop,discovery,180.0,modulation_delay,h1_max_persistence,24,24,0.12258797883987427,0.11827844381332397,0.09375,0.5847767220837196,0.8898776205621819,0.15277777777777768,0.20496494951443828,True,False,0.019215464016978587,False
exploration,focus_vs_pop,discovery,180.0,acoustic_pca,h1_max_persistence,24,24,0.0914171040058136,0.06493417918682098,0.21180555555555558,0.21221826045709435,0.7329057020956772,0.26736111111111116,0.08392822689562031,True,False,0.017776464724419582,False
exploration,focus_vs_pop,discovery,180.0,rhythm,h1_persistence_entropy,24,24,0.7641387389396815,0.7653650339788136,-0.10590277777777779,0.5361757094302011,0.8898776205621819,-0.02430555555555558,0.15455364033959357,True,False,0.01636765982763057,False
exploration,focus_vs_pop,discovery,180.0,modulation_delay,h1_mean_persistence,24,24,0.06365737106118884,0.05214914513958825,0.10069444444444442,0.5567604652232558,0.8898776205621819,0.14236111111111116,0.15361116470512576,True,False,0.015467790890446687,False
exploration,focus_vs_pop,discovery,180.0,onset_delay,h1_mean_persistence,24,24,0.04821192017859883,0.04716965059439342,0.05555555555555558,0.749268076764465,0.9201537784826763,0.09027777777777768,0.23706657455020586,True,False,0.01317036525278922,False
exploration,focus_vs_pop,discovery,180.0,acoustic_pca,h1_count,24,24,4.5,4.0,0.03125,0.8588886286976148,0.9648407865478812,0.24826388888888884,0.40191277124315633,True,False,0.012559774101348635,False
exploration,focus_vs_pop,discovery,180.0,acoustic_novelty_delay,h1_total_persistence,24,24,0.27887117862701416,0.27310267090797424,-0.05208333333333337,0.7649515205278014,0.9232173523611396,0.21875,0.23361630973052935,False,False,0.012167516131798412,False
exploration,focus_vs_pop,discovery,180.0,rhythm,h0_persistence_entropy,24,24,0.9468253142746219,0.9444924192417128,-0.02083333333333337,0.9097070273165737,0.9648407865478812,0.34375,0.5644092867708536,False,False,0.011758526807726136,False
exploration,focus_vs_pop,discovery,180.0,rhythm,h1_count,24,24,4.0,4.0,0.08159722222222232,0.6255147114391475,0.8935924449130678,0.28298611111111116,0.13273528363110712,True,False,0.010830830435177156,False
exploration,focus_vs_pop,discovery,180.0,chroma,h0_max_persistence,24,24,0.7777992486953735,0.815642386674881,0.02430555555555558,0.8933806381420359,0.9648407865478812,-0.0625,0.4334040774326324,False,False,0.010534126882043159,False
exploration,focus_vs_pop,discovery,180.0,acoustic_novelty_delay,h1_count,24,24,5.0,5.0,0.07465277777777768,0.6590991604312204,0.9042924810201319,0.22916666666666674,0.1410675699711353,True,False,0.010531085952706265,False
exploration,focus_vs_pop,discovery,180.0,rhythm,h1_mean_persistence,24,24,0.049070096015930174,0.05592807829380035,0.02083333333333326,0.9097070273165737,0.9648407865478812,0.09375,0.48713743649109276,True,False,0.010148696593564396,False
exploration,focus_vs_pop,discovery,180.0,modulation_delay,h1_count,24,24,5.0,5.0,0.02083333333333326,0.9088733659173637,0.9648407865478812,0.36458333333333326,0.42136375760610145,True,False,0.00877841161679375,False
exploration,focus_vs_pop,discovery,180.0,acoustic_pca,h1_prominent_count,24,24,0.0,0.0,-0.05555555555555558,0.7053961339880042,0.9042924810201319,0.05555555555555558,0.11483248006444986,False,False,0.006379582225802773,False
exploration,focus_vs_pop,discovery,180.0,onset_delay,h1_prominent_count,24,24,0.0,0.5,-0.01909722222222221,0.9094209334899255,0.9648407865478812,0.00868055555555558,0.3194294826425862,False,False,0.006100215814354941,False
exploration,focus_vs_pop,discovery,180.0,rhythm,h1_total_persistence,24,24,0.1847405731678009,0.231573224067688,-0.01388888888888884,0.9424675874144188,0.9701872223383724,0.19097222222222232,0.4216991446395267,False,False,0.005856932564437849,False
exploration,focus_vs_pop,discovery,180.0,modulation,h1_count,24,24,2.0,2.0,0.015625,0.9319827624295348,0.9701872223383724,0.14756944444444442,0.3194159511226947,True,False,0.004990874236292105,False
exploration,focus_vs_pop,discovery,180.0,acoustic_novelty_delay,h1_persistence_entropy,24,24,0.8540522263009755,0.8394073985688674,-0.06423611111111116,0.7105155208015322,0.9042924810201319,0.45833333333333326,0.06898464506793149,False,False,0.004431305325544214,False
exploration,focus_vs_pop,discovery,180.0,chroma,h1_max_persistence,24,24,0.1289738118648529,0.12750819325447083,0.03125,0.8608698044170195,0.9648407865478812,0.32638888888888884,0.060454048491864434,True,False,0.0018891890153707636,False
exploration,focus_vs_pop,discovery,180.0,acoustic_novelty_delay,h1_max_persistence,24,24,0.12412115931510925,0.11315429210662842,0.003472222222222321,0.9917740945477351,1.0,-0.13194444444444442,0.2800180075889125,False,False,0.0009722847485726404,False
exploration,focus_vs_pop,discovery,180.0,chroma,h0_q75_persistence,24,24,0.5807628631591797,0.5261630192399025,0.0,1.0,1.0,0.13541666666666674,0.8602482474757221,False,False,0.0,False
